PROPERTYSQFT,PRICE
1400.0,315000
17545.0,195000000
2015.0,260000
445.0,69000
14175.0,55000000
4004.0,690000
2184.207862,899500
33000.0,16800000
750.0,265000
978.0,440000
850.0,375000
1162.0,689000
2184.207862,259000
2184.207862,430000
2184.207862,895000
1000.0,549000
1734.0,975000
325.0,199000
700.0,350000
974.0,599000
1260.0,639999
1244.0,1300000
2837.0,1100000
651.0,349900
1330.0,750000
2200.0,1690000
2184.207862,325000
5670.0,2250000
2184.207862,230000
3156.0,1299888
2750.0,925000
794.0,329000
5040.0,1300000
2080.0,848000
750.0,279000
602.0,528000
3156.0,1299888
2184.207862,275000
815.0,1165000
3290.0,1199000
3053.0,700000
3200.0,2150000
2460.0,1280000
2184.207862,199900
2184.207862,369000
1591.0,699000
2400.0,4250000
2184.207862,825000
837.0,329000
1520.0,889000
2184.207862,769000
2536.0,1200000
900.0,220500
2739.0,1999000
1300.0,3250000
1267.0,1650000
2554.0,1049000
2400.0,998800
2400.0,998800
1952.0,3150000
2184.207862,849000
800.0,559500
835.0,750000
1029.0,1900000
1201.0,1250000
1182.0,1395000
2184.207862,198000
1400.0,619888
3780.0,1489000
15200.0,65000000
1413.0,1595000
803.0,655000
1115.0,1175000
2350.0,2880000
2150.0,798000
2184.207862,1685000
4492.0,31000000
2184.207862,2550000
2184.207862,119000
2184.207862,269000
1065.0,1650000
1065.0,1650000
3344.0,12950000
2223.0,5750000
2184.207862,250000
3384.0,950000
1100.0,585000
2184.207862,8750000
1316.0,595000
625.0,215000
621.0,950000
1572.0,314000
1000.0,395000
2184.207862,600000
2520.0,790000
1100.0,539000
1995.0,1295000
2184.207862,245000
2385.0,400000
12000.0,55000000
1000.0,280000
1440.0,899000
1400.0,2280000
2184.207862,649000
2184.207862,739000
3000.0,1495000
3528.0,3950000
979.0,325000
2184.207862,299999
4720.0,2695000
3958.0,4800000
1360.0,694000
2846.0,688888
1980.0,400000
2184.207862,346000
1980.0,400000
2184.207862,346000
2184.207862,265000
1224.0,319000
2184.207862,24800000
3276.0,1100000
2184.207862,309000
1522.0,650000
1975.0,799000
1089.0,259000
2704.0,1195000
5499.0,17500000
966.0,189000
1200.0,759000
2184.207862,275000
630.0,499000
2184.207862,1249000
700.0,69900
5508.0,1150000
3740.0,1749900
1993.0,1399000
1182.0,649000
1760.0,499000
3132.0,1050000
6425.0,5000000
660.0,90000
24000.0,56000000
1638.0,650000
1794.0,500000
490.0,350000
2184.207862,1099000
450.0,90000
2184.207862,839000
2184.207862,659000
2184.207862,659000
2184.207862,399999
2184.207862,250000
1132.0,1740000
2244.0,650000
3500.0,1165000
1150.0,729900
3150.0,1880000
1549.0,449000
2250.0,1175000
2184.207862,2750000
2184.207862,995000
2000.0,2000000
2184.207862,15000000
8333.0,2800000
3024.0,2600000
6000.0,3500000
2184.207862,550000
2184.207862,769000
2400.0,675000
1238.0,879000
2184.207862,918888
1892.0,2400000
3024.0,1730000
2184.207862,425000
1450.0,2500000
2000.0,998000
2688.0,1195000
2052.0,1649000
2100.0,955000
2184.207862,949000
1743.0,880000
10582.0,39995000
2184.207862,1250000
1784.0,899999
750.0,198000
496.0,549000
1320.0,1088888
2686.0,888000
230.0,65000
2184.207862,1449999
2184.207862,14900000
2250.0,1695000
4100.0,2499000
2508.0,1970000
2184.207862,1895000
1248.0,689000
1440.0,649999
864.0,669000
825.0,800000
2184.207862,2375000
6688.0,2400000
586.0,390000
2184.207862,2250000
2700.0,1450000
792.0,725000
2184.207862,269000
2184.207862,695000
2184.207862,1300000
1250.0,459000
1008.0,689999
1405.0,425000
6800.0,10000000
2184.207862,1525000
3519.0,1499000
2184.207862,695000
2184.207862,1300000
2184.207862,269000
1405.0,425000
3519.0,1499000
1480.0,519000
2184.207862,358000
2184.207862,975000
11638.0,29200000
975.0,498000
900.0,385000
3144.0,999000
2184.207862,399000
2800.0,599000
1800.0,829888
1548.0,699998
2184.207862,1088000
1280.0,999000
2184.207862,1188888
700.0,265000
